StoreNum,Open Date,State Provinc,Market,Region,Locality Code,Climate Code,Pharmacy_IND,Pickup_IND,SFS_IND,COMP_IND,College_STORE_IND,INCOME_CD,ETHNICITY_CD
92,1998/09/15,46,102,416,2,2,N,N,Y,N,Y,3,2
93,1980/02/01,46,94,NULL,2,3,N,N,Y,Y,N,2,3
94,1980/02/01,46,102,414,2,2,N,N,Y,N,Y,2,2
95,1980/02/01,46,102,NULL,3,2,N,N,Y,Y,Y,3,2
96,2018/08/11,64,108,NULL,NULL,NULL,NULL,Y,Y,N,NULL,NULL,NULL
97,2000/01/01,1,52,0,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
98,2000/01/01,64,52,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
99,2011/10/25,47,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
100,2000/01/01,6,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
101,2000/01/01,21,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
102,2000/01/01,1,52,0,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
103,2000/01/01,46,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
104,2011/04/15,6,52,0,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
105,2000/01/01,46,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
106,2000/01/01,64,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
107,2000/01/01,46,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
108,2000/01/01,64,52,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
109,2000/01/01,64,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
110,2000/01/01,46,52,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
111,2000/01/01,46,52,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
112,2000/01/01,41,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
113,2000/01/01,6,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
114,2000/01/01,46,52,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
115,2000/01/01,46,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
116,2000/01/01,6,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
117,2000/01/01,46,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
118,2000/01/01,30,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
119,2000/01/01,46,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
120,2012/08/23,1,52,0,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
121,2013/08/01,21,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
122,2012/10/15,1,52,0,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
123,2014/02/06,46,52,0,NULL,NULL,N,NULL,NULL,NULL,N,NULL,NULL
124,2013/06/01,46,52,0,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
125,2013/06/01,46,52,0,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
126,2000/01/01,46,52,NULL,NULL,NULL,N,N,NULL,NULL,N,NULL,NULL
127,1980/02/01,6,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
128,1980/02/01,1,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
129,1980/02/01,52,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
130,1980/02/01,52,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
131,1980/02/01,21,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
132,1980/02/01,21,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
133,1993/08/11,1,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
134,1993/08/11,1,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
135,1980/02/01,6,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
136,2002/11/15,6,95,0,NULL,NULL,N,N,N,N,N,NULL,NULL
137,2010/10/18,1,95,NULL,1,NULL,N,N,N,N,N,1,2
138,2005/10/28,6,95,0,NULL,NULL,N,N,N,Y,N,NULL,NULL
139,2000/03/23,21,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
140,1980/02/01,52,95,0,3,2,N,N,N,Y,N,3,2
141,1993/08/11,6,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
142,1980/02/01,1,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
143,1980/02/01,1,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
144,1980/02/01,1,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
145,2012/08/30,46,97,411,NULL,NULL,N,N,N,-,N,NULL,NULL
146,2012/08/30,46,98,0,NULL,NULL,N,N,N,-,N,NULL,NULL
147,2012/10/05,6,98,403,NULL,NULL,N,N,N,-,N,NULL,NULL
148,2013/07/23,46,98,412,NULL,NULL,N,N,N,-,N,NULL,NULL
149,2013/09/09,32,98,410,NULL,NULL,N,N,N,-,N,NULL,NULL
150,2013/09/09,64,98,407,NULL,NULL,N,N,N,-,N,NULL,NULL
151,2013/09/09,46,98,412,NULL,NULL,N,N,N,-,N,NULL,NULL
152,2013/09/09,46,98,411,NULL,NULL,N,N,N,-,N,NULL,NULL
153,2013/09/09,46,98,411,NULL,NULL,N,N,N,-,N,NULL,NULL
154,2013/09/09,52,98,405,NULL,NULL,N,N,N,-,N,NULL,NULL
155,2013/09/09,52,98,405,NULL,NULL,N,N,N,-,N,NULL,NULL
156,2013/09/09,1,98,401,NULL,NULL,N,N,N,-,N,NULL,NULL
157,2013/09/09,1,98,401,NULL,NULL,N,N,N,-,N,NULL,NULL
158,2013/09/09,1,98,401,NULL,NULL,N,N,N,-,N,NULL,NULL
159,2013/09/09,6,98,403,NULL,NULL,N,N,N,-,N,NULL,NULL
160,2013/08/23,64,98,407,NULL,NULL,N,N,N,-,N,NULL,NULL
161,2014/09/12,6,98,403,NULL,NULL,N,N,N,-,N,NULL,NULL
