Week,StoreNum,Category,Sales,Units , profit,week no,Year
201709,57,35,732.3,20,95.199,9,2017
201709,57,7,1416533.35,23871,585718.9257,9,2017
201709,57,5,190779.47,8492,47248.2239,9,2017
201709,57,1,1827604.1,26075,842275.8155,9,2017
201710,57,2,1052936.79,18034,402731.9014,10,2017
201710,57,4,1958472.75,31506,865178.2541,10,2017
201710,57,1,1923171.71,27998,898364.3469,10,2017
201710,57,5,207959.27,9006,67174.4453,10,2017
201710,57,35,718.85,27,93.4505,10,2017
201710,57,36,54250.35,395,14575.3325,10,2017
201710,57,8,253195,6108,116911.8215,10,2017
201710,57,50,180,9,90.99,10,2017
201710,57,7,1581270.32,23164,618243.0489,10,2017
201710,57,3,304053.34,10973,120655.1976,10,2017
201711,57,2,1622646.31,28150,648590.5996,11,2017
201711,57,36,65337.01,465,18034.0125,11,2017
201711,57,1,2182562.57,35620,983340.3512,11,2017
201711,57,8,270204.41,7579,132941.9521,11,2017
201711,57,3,249261.7,9756,96393.8388,11,2017
201711,57,7,2125286.8,31660,768552.1811,11,2017
201711,57,5,238297.2,10081,89338.8512,11,2017
201711,57,35,263.45,10,34.2485,11,2017
201711,57,4,3043169.38,51062,1254167.18,11,2017
201712,57,50,1020,72,395.28,12,2017
201712,57,1,2183723.52,36104,977403.7822,12,2017
201712,57,8,291594.65,8320,126675.5176,12,2017
201712,57,36,52586.99,428,14423.3659,12,2017
201712,57,4,2680616.38,46222,1139061.006,12,2017
201712,57,5,227981.22,9542,87117.0288,12,2017
201712,57,3,278426.05,9456,105572.4562,12,2017
201712,57,35,378.25,12,49.1725,12,2017
201712,57,2,1429835.81,25199,583462.1515,12,2017
201712,57,7,2389570.93,36187,869421.6036,12,2017
201713,57,3,393368.65,12292,151823.9945,13,2017
201713,57,5,332459.33,15470,120210.6551,13,2017
201713,57,35,441.1,20,57.343,13,2017
201713,57,8,446986.38,12695,176643.5263,13,2017
201713,57,4,3506431.11,64251,1421846.156,13,2017
201713,57,7,2730684.14,44529,964958.4799,13,2017
201713,57,50,880.55,403,-1611.68,13,2017
201713,57,36,67770.17,642,18330.1563,13,2017
201713,57,2,1914235.04,37011,729706.0356,13,2017
201713,57,1,3188259.59,60518,1212197.713,13,2017
201714,57,7,1611064.01,23575,621708.2835,14,2017
201714,57,5,136213.09,5263,51217.5428,14,2017
201714,57,4,1697108.55,23382,786335.1833,14,2017
201714,57,8,393228.8,7362,196482.3691,14,2017
201714,57,36,51693.93,479,13821.6057,14,2017
201714,57,50,400,33,127.71,14,2017
201714,57,35,175.25,7,22.7825,14,2017
201714,57,2,745709.77,11375,316623.9113,14,2017
201714,57,3,240081.92,7251,85795.5994,14,2017
201714,57,1,1866854.29,25974,829900.557,14,2017
201715,57,2,1837662.35,17842,764450.257,15,2017
201715,57,7,2736128.45,33530,1113912.269,15,2017
201715,57,4,1960160.33,23133,881867.0023,15,2017
201715,57,36,36398.22,309,9678.3664,15,2017
201715,57,50,640.15,34,312.21,15,2017
201715,57,3,282099.05,8039,95538.1954,15,2017
201715,57,8,167810.23,3528,81921.1449,15,2017
201715,57,35,165,8,21.45,15,2017
201715,57,5,136807.2,5342,50363.7589,15,2017
201715,57,1,1980549.73,36457,822430.6712,15,2017
201716,57,4,2104190.71,26400,864056.7405,16,2017
201716,57,7,2055704.68,32171,852100.4247,16,2017
201716,57,35,377.5,16,49.075,16,2017
201716,57,8,167733.62,3382,87164.8506,16,2017
201716,57,3,280864.99,7470,100174.2029,16,2017
201716,57,36,43532.03,365,11467.8373,16,2017
201716,57,50,600,30,303.3,16,2017
201716,57,1,2066741.04,31957,895714.5006,16,2017
201716,57,2,906921.69,13523,367999.6814,16,2017
201716,57,5,140878.94,6057,49819.8189,16,2017
201717,57,4,1756193.9,27647,744941.3225,17,2017
201717,57,5,215047.13,9337,67311.3201,17,2017
201717,57,7,1579080.94,25087,625239.7559,17,2017
201717,57,50,540,27,272.97,17,2017
201717,57,1,1736272.61,25052,775312.8142,17,2017
201717,57,8,202813.49,4268,109270.4978,17,2017
201717,57,2,1032832.17,16780,405057.9858,17,2017
201717,57,3,192019.17,6120,73624.6353,17,2017
201717,57,35,282.5,10,36.725,17,2017
201717,57,36,60859.92,432,15771.385,17,2017
201718,57,3,258707.51,11570,97319.4887,18,2017
201718,57,36,67024.09,426,17651.1571,18,2017
201718,57,8,233188.16,5174,127496.2813,18,2017
201718,57,50,835.6,570,-1632.86,18,2017
201718,57,2,959354.17,16329,392351.4517,18,2017
201718,57,7,1187311.68,17518,514055.9459,18,2017
201718,57,35,376.45,9,48.9385,18,2017
201718,57,1,2216710.18,36685,950818.9707,18,2017
201718,57,4,1635655.09,25642,668241.0813,18,2017
201718,57,5,187347.85,7146,60819.369,18,2017
201719,57,2,1369812.63,27087,478519.0471,19,2017
201719,57,8,287513.07,7065,154209.842,19,2017
201719,57,1,1985396.85,34682,772754.2599,19,2017
201719,57,50,900,74,251.15,19,2017
201719,57,3,332113.27,12869,121005.9666,19,2017
201719,57,4,1653037.73,26541,687486.1204,19,2017
201719,57,36,66535.22,493,17249.1409,19,2017
201719,57,5,249044.49,12186,69285.2461,19,2017
201719,57,35,434,13,56.42,19,2017
201719,57,7,1393592.7,21523,533953.8183,19,2017
201720,57,36,38375.86,354,9909.0482,20,2017
201720,57,1,1548208.02,29203,586928.3151,20,2017
201720,57,8,237847.21,6331,121750.5989,20,2017
201720,57,50,960,134,-39.76,20,2017
201720,57,7,1738195.14,26021,685587.0442,20,2017
201720,57,2,1983024.55,64485,660329.0276,20,2017
201720,57,5,228394.51,11943,61232.2668,20,2017
201720,57,35,421.5,16,54.795,20,2017
201720,57,3,331067.42,11264,117437.6614,20,2017
201720,57,4,2067958.81,32768,688657.2575,20,2017
201721,57,50,510.63,65,11.93,21,2017
201721,57,36,55240.3,396,14706.5414,21,2017
201721,57,7,1229948.95,18136,515405.3011,21,2017
201721,57,3,229198.93,7042,77971.5057,21,2017
201721,57,35,191.9,6,24.947,21,2017
201721,57,8,254183.87,5994,127743.3044,21,2017
201721,57,4,2534258.69,42205,888400.5025,21,2017
201721,57,5,135738.93,6482,44513.6169,21,2017
201721,57,2,2175729.36,51712,679705.4001,21,2017
201721,57,1,1681442.21,25457,678814.0769,21,2017
201722,57,7,1495496.64,22383,589448.264,22,2017
201722,57,5,160503.78,8047,45385.8114,22,2017
201722,57,1,2249510.65,38959,740889.9393,22,2017
201722,57,4,1851768.85,32078,592302.5399,22,2017
201722,57,2,1048532.29,21459,334965.9341,22,2017
201722,57,50,480,34,153.04,22,2017
201722,57,36,64300.45,562,16348.2855,22,2017
201722,57,8,335068.84,9334,153955.1986,22,2017
201722,57,3,234776.21,7402,86571.9965,22,2017
201722,57,35,396.11,11,51.4943,22,2017
201723,57,50,210.11,37,-48.87,23,2017
201723,57,36,57791.02,548,14431.3482,23,2017
201723,57,8,255952.82,7504,106053.2419,23,2017
201723,57,3,262072.97,7329,97173.5829,23,2017
201723,57,7,1672093.57,24427,622072.6431,23,2017
201723,57,35,146,7,18.98,23,2017
201723,57,2,991154.33,21902,310303.6646,23,2017
201723,57,4,1427139.46,27146,480399.1595,23,2017
201723,57,1,1771644.86,30763,682622.6067,23,2017
201723,57,5,196878.92,9253,50472.6165,23,2017
201724,57,35,307,10,39.91,24,2017
201724,57,5,161157.87,7848,46954.0241,24,2017
201724,57,4,1783515.52,35071,570230.7822,24,2017
201724,57,2,922770.9,19019,321959.1784,24,2017
201724,57,36,39450.31,361,10468.2709,24,2017
201724,57,50,630.11,59,125.65,24,2017
201724,57,8,270298.88,8362,99426.8677,24,2017
201724,57,1,2598663.48,56074,793275.4664,24,2017
201724,57,3,273667.74,7552,98653.9363,24,2017
201724,57,7,1695683.06,25964,699435.9735,24,2017
201725,57,4,1411477.58,28944,472202.2321,25,2017
201725,57,5,134251.36,6333,40526.9689,25,2017
201725,57,35,112,3,14.56,25,2017
201725,57,3,180537.97,8703,65091.5944,25,2017
201725,57,7,1324918.79,21571,529187.1927,25,2017
201725,57,2,731034.82,16442,251844.4034,25,2017
201725,57,36,50471.9,483,13809.154,25,2017
201725,57,50,540.22,58,68.9,25,2017
201725,57,1,1721412.12,35010,577786.5778,25,2017
201725,57,8,177325.56,4292,78865.6105,25,2017
201726,57,7,1329043.05,21296,554665.5457,26,2017
201726,57,1,1840633.04,40892,599340.027,26,2017
201726,57,8,231057.84,5480,107757.2776,26,2017
201726,57,50,690,71,124.01,26,2017
201726,57,36,53330.02,548,14573.1278,26,2017
201726,57,2,754202.96,16520,258168.7123,26,2017
201726,57,3,236098.24,9106,86729.2,26,2017
201726,57,5,156597.68,7599,47012.5861,26,2017
201726,57,35,636,18,82.68,26,2017
201726,57,4,2025327.37,45130,422103.5243,26,2017
201727,57,3,284182.24,7823,100458.1333,27,2017
201727,57,2,627957.51,14378,212662.5844,27,2017
201727,57,1,1409879.53,28087,491294.2903,27,2017
201727,57,5,183093.19,9318,45682.7752,27,2017
201727,57,7,1335414.81,21397,567723.1194,27,2017
201727,57,8,175581.98,4743,89653.0842,27,2017
201727,57,36,52152.41,508,14040.5957,27,2017
